region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,13,20,0,18,0,154,274,0,215,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.53,2.98,,2.89,,3.58,Plus service,No
Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2,21,0,41,0,2,21,0,41,0,No,No,No,No,No,Yes,Yes,Yes,No,0.79,3.03,,3.70,,3.50,Plus service,No
Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8,24,37,28,37,399,951,1533,1190,1562,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2.11,3.16,3.61,3.33,3.62,3.61,Total service,No
Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9,0,0,0,0,235,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,No,2.21,,,,,3.43,Plus service,No
Zone 1,9,21,Married,1,17,High school degree,2,No,Female,3,No,No,No,No,3,0,0,0,0,25,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.06,,,,,2.83,Basic service,No
Zone 2,13,33,Married,9,19,College degree,0,No,Female,2,No,Yes,No,No,6,0,27,0,0,75,0,331,0,0,Yes,No,No,Yes,No,No,No,Yes,Yes,1.71,,3.31,,,2.94,E-service,No
Zone 1,56,37,Married,6,36,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,11,0,31,18,0,583,0,1756,1005,0,Yes,No,No,Yes,No,No,No,No,Yes,2.36,,3.44,2.90,,3.58,E-service,No
Zone 1,71,53,Married,27,155,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21,56,0,34,50,1519,4064,0,2345,3647,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.04,4.03,,3.53,3.91,5.04,Total service,No
Zone 1,35,50,Married,26,140,High school degree,21,No,Female,4,Yes,No,Yes,No,7,28,0,35,0,248,1068,0,1215,0,No,No,No,No,No,Yes,Yes,Yes,No,1.87,3.31,,3.56,,4.94,Plus service,No
Zone 1,11,27,Married,8,55,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,5,0,20,0,0,54,0,220,0,0,Yes,No,No,Yes,No,No,No,No,No,1.57,,2.97,,,4.01,E-service,No
Zone 2,60,46,Married,13,163,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,34,38,45,14,55,1948,2326,2646,840,3126,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.52,3.64,3.80,2.62,4.01,5.09,Total service,No
Zone 3,20,35,Married,11,52,College degree,0,No,Male,2,No,Yes,No,No,4,0,31,0,0,83,0,547,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.45,,3.42,,,3.95,E-service,Yes
Zone 2,54,60,Unmarried,38,211,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21,39,46,54,55,1229,2102,2421,2785,2896,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3.05,3.67,3.84,3.99,4.00,5.35,Total service,No
Zone 1,44,57,Married,1,186,High school degree,17,No,Male,2,Yes,No,Yes,Yes,10,34,0,36,42,428,1380,0,1535,1827,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.28,3.51,,3.58,3.73,5.23,Plus service,No
Zone 1,11,41,Married,0,39,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,7,29,0,20,0,68,304,0,200,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.88,3.38,,2.98,,3.66,Plus service,Yes
Zone 2,72,57,Unmarried,34,22,High school degree,35,Yes,Female,1,Yes,No,Yes,No,42,49,0,19,0,3043,3581,0,1360,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.73,3.89,,2.93,,3.09,Plus service,No
Zone 3,10,41,Unmarried,7,30,Did not complete high school,7,No,Male,1,Yes,No,Yes,No,3,19,0,54,0,31,178,0,490,0,No,No,No,No,Yes,Yes,Yes,Yes,No,0.92,2.96,,3.98,,3.40,Plus service,No
Zone 2,15,28,Unmarried,0,29,High school degree,4,No,Female,1,Yes,No,Yes,No,4,30,0,18,0,78,426,0,255,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.45,3.40,,2.88,,3.37,Plus service,No
Zone 2,27,28,Married,4,23,High school degree,8,No,Male,5,No,No,No,No,6,0,0,0,0,180,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.82,,,,,3.14,Basic service,No
Zone 1,9,36,Married,14,62,College degree,10,No,Male,6,No,Yes,No,Yes,6,0,47,0,49,43,0,387,0,365,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1.73,,3.84,,3.88,4.13,Total service,Yes
Zone 1,64,43,Married,20,76,College degree,20,No,Female,4,Yes,No,Yes,No,15,19,0,11,0,897,1279,0,680,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.69,2.93,,2.40,,4.33,Plus service,No
Zone 1,65,41,Married,3,74,College degree,16,No,Male,2,No,Yes,Yes,No,15,0,37,17,0,963,0,2263,1065,0,Yes,Yes,No,Yes,No,No,No,No,Yes,2.67,,3.61,2.83,,4.30,E-service,No
Zone 1,49,51,Married,27,63,College degree,19,No,Male,5,Yes,No,Yes,No,13,26,0,14,0,586,1278,0,635,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.55,3.25,,2.66,,4.14,E-service,No
Zone 3,47,41,Married,0,36,College degree,8,No,Male,2,No,Yes,Yes,Yes,8,0,37,19,39,361,0,1718,845,1730,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,2.05,,3.62,2.92,3.66,3.58,Total service,Yes
Zone 3,9,34,Married,9,33,High school degree,8,No,Female,4,No,Yes,No,No,3,0,23,0,0,19,0,209,0,0,No,No,No,No,No,No,No,No,No,1.08,,3.13,,,3.50,Basic service,Yes
Zone 1,5,36,Unmarried,14,29,High school degree,9,No,Female,1,Yes,No,Yes,Yes,3,32,0,16,27,17,155,0,60,99,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.18,3.45,,2.74,3.29,3.37,Plus service,Yes
Zone 2,30,34,Married,4,27,High school degree,1,No,Male,5,No,Yes,No,No,6,0,23,0,0,151,0,691,0,0,No,No,No,Yes,No,No,No,No,No,1.84,,3.11,,,3.30,Basic service,Yes
Zone 1,56,52,Married,28,49,High school degree,12,No,Male,4,No,No,Yes,No,25,0,0,22,0,1349,0,0,1215,0,Yes,No,No,No,No,No,No,No,No,3.21,,,3.10,,3.89,E-service,No
Zone 3,10,22,Unmarried,0,24,College degree,0,No,Male,1,Yes,Yes,Yes,Yes,8,24,37,23,30,63,223,330,185,306,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.05,3.17,3.62,3.11,3.40,3.18,Total service,No
Zone 1,7,26,Married,3,26,High school degree,2,No,Male,5,Yes,No,No,No,5,16,0,0,0,34,137,0,0,0,No,No,No,No,No,Yes,No,No,No,1.58,2.74,,,,3.26,Basic service,No
Zone 1,52,27,Unmarried,6,47,Some college,5,No,Male,2,Yes,No,Yes,No,6,19,0,14,0,330,943,0,725,0,No,No,No,No,Yes,No,No,No,Yes,1.83,2.92,,2.66,,3.85,Basic service,No
Zone 2,36,45,Married,1,94,High school degree,18,No,Female,5,Yes,Yes,No,No,7,16,28,0,0,259,554,1044,0,0,No,No,Yes,Yes,Yes,No,No,Yes,No,1.97,2.76,3.34,,,4.54,Basic service,Yes
Zone 3,27,34,Unmarried,8,21,Some college,4,No,Female,1,No,No,No,No,8,0,0,0,0,213,0,0,0,0,Yes,No,No,No,No,No,No,No,No,2.03,,,,,3.04,E-service,No
Zone 1,58,62,Married,36,27,Did not complete high school,0,No,Male,2,No,No,Yes,No,16,0,0,35,0,967,0,0,1910,0,No,No,No,No,No,No,No,No,No,2.74,,,3.54,,3.30,Basic service,No
Zone 2,41,52,Unmarried,27,30,High school degree,2,No,Female,1,Yes,No,Yes,Yes,10,28,0,19,28,448,1152,0,800,1037,No,No,No,No,Yes,Yes,Yes,Yes,No,2.34,3.33,,2.94,3.31,3.40,Plus service,No
Zone 2,47,40,Married,16,127,College degree,12,No,Female,4,No,Yes,Yes,No,20,0,28,15,0,910,0,1320,680,0,Yes,No,No,Yes,No,No,No,No,Yes,2.98,,3.34,2.69,,4.84,E-service,No
Zone 2,55,39,Married,15,137,High school degree,20,No,Female,2,Yes,No,Yes,No,13,28,0,12,0,677,1505,0,620,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,2.54,3.31,,2.44,,4.92,Plus service,Yes
Zone 2,56,50,Married,1,80,High school degree,24,No,Female,4,Yes,No,Yes,Yes,29,56,0,21,61,1558,3119,0,1065,3268,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.36,4.02,,3.06,4.11,4.38,Total service,No
Zone 3,35,55,Unmarried,24,30,High school degree,2,No,Male,1,No,No,Yes,No,10,0,0,16,0,396,0,0,550,0,No,No,No,No,No,No,No,No,No,2.33,,,2.76,,3.40,Basic service,No
Zone 2,69,51,Married,11,438,College degree,23,No,Female,2,No,Yes,Yes,No,29,0,47,25,0,1815,0,3064,1655,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3.37,,3.85,3.21,,6.08,Total service,No
Zone 2,44,39,Unmarried,16,79,High school degree,16,No,Male,1,Yes,Yes,Yes,Yes,15,25,37,27,30,654,1037,1610,1110,1280,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.72,3.20,3.62,3.31,3.40,4.37,Total service,Yes
Zone 3,36,47,Married,16,63,Did not complete high school,23,No,Male,2,No,No,Yes,No,9,0,0,7,0,374,0,0,220,0,No,No,No,No,No,No,No,No,No,2.20,,,1.91,,4.14,Basic service,No
Zone 3,28,51,Married,22,40,Some college,10,No,Female,6,Yes,No,No,No,9,21,0,0,0,254,587,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.19,3.06,,,,3.69,Plus service,No
Zone 1,72,67,Married,44,51,Did not complete high school,34,Yes,Male,2,Yes,No,Yes,No,57,52,0,19,0,4168,3658,0,1345,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4.04,3.94,,2.96,,3.93,Plus service,No
Zone 1,16,27,Unmarried,5,37,Some college,5,No,Male,4,No,No,No,No,6,0,0,0,0,81,0,0,0,0,No,No,No,No,No,No,No,No,No,1.79,,,,,3.61,Basic service,No
Zone 3,3,43,Unmarried,19,61,College degree,11,No,Female,1,No,Yes,Yes,Yes,3,0,27,16,18,8,0,53,20,38,No,No,No,Yes,Yes,No,No,Yes,Yes,1.15,,3.31,2.79,2.89,4.11,Basic service,Yes
Zone 1,40,57,Married,15,22,High school degree,9,No,Male,2,No,No,Yes,No,9,0,0,20,0,382,0,0,710,0,No,No,No,No,No,No,No,No,No,2.15,,,2.98,,3.09,Basic service,No
Zone 3,16,39,Unmarried,6,44,College degree,3,No,Female,1,No,Yes,No,No,7,0,23,0,0,96,0,350,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.89,,3.15,,,3.78,E-service,No
Zone 1,20,42,Unmarried,4,17,Some college,5,No,Male,1,No,No,No,No,8,0,0,0,0,176,0,0,0,0,No,No,No,No,No,No,No,No,No,2.05,,,,,2.83,Basic service,No
Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,15,No,Female,3,No,Yes,No,Yes,7,0,34,0,21,359,0,1573,0,1010,Yes,Yes,No,Yes,No,No,No,No,Yes,1.98,,3.51,,3.03,4.70,E-service,No
Zone 2,64,48,Married,13,91,High school degree,24,No,Male,2,Yes,No,Yes,Yes,25,25,0,13,30,1532,1569,0,780,1876,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.20,3.21,,2.53,3.39,4.51,Plus service,No
Zone 1,8,46,Unmarried,3,46,High school degree,8,No,Male,1,No,Yes,No,No,3,0,25,0,0,17,0,172,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.15,,3.22,,,3.83,Basic service,No
Zone 1,40,38,Married,10,85,Some college,12,No,Male,2,No,No,No,No,11,0,0,0,0,385,0,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.36,,,,,4.44,Plus service,Yes
Zone 2,38,71,Unmarried,27,10,High school degree,12,Yes,Male,1,No,No,No,No,11,0,0,0,0,430,0,0,0,0,No,No,No,No,No,No,No,Yes,No,2.42,,,,,2.30,Basic service,No
Zone 1,67,68,Unmarried,28,244,Did not complete high school,47,No,Female,1,Yes,No,Yes,No,30,30,0,31,0,2186,2036,0,2105,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3.41,3.41,,3.43,,5.50,Plus service,No
Zone 1,26,42,Unmarried,0,80,College degree,15,No,Female,1,Yes,Yes,Yes,Yes,8,44,50,11,44,197,1123,1159,250,1177,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.06,3.78,3.90,2.35,3.78,4.38,Total service,No
Zone 3,41,34,Married,15,83,Post-undergraduate degree,1,No,Female,2,Yes,No,Yes,No,9,34,0,6,0,380,1404,0,220,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.19,3.52,,1.75,,4.42,Total service,No
Zone 2,2,31,Unmarried,2,21,Did not complete high school,6,No,Male,1,No,Yes,No,No,2,0,22,0,0,3,0,17,0,0,No,No,No,No,No,No,No,Yes,No,0.50,,3.07,,,3.04,Basic service,Yes
Zone 3,20,48,Married,29,24,High school degree,3,No,Male,2,Yes,No,Yes,No,12,23,0,35,0,231,453,0,675,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.47,3.11,,3.56,,3.18,Total service,Yes
Zone 2,31,53,Unmarried,2,351,Some college,31,No,Female,1,Yes,No,Yes,No,6,32,0,19,0,185,1010,0,585,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,1.70,3.45,,2.96,,5.86,Plus service,No
Zone 2,45,52,Married,4,169,College degree,29,No,Female,4,No,Yes,Yes,No,15,0,40,14,0,618,0,1820,690,0,Yes,No,No,Yes,No,No,No,No,No,2.68,,3.70,2.66,,5.13,E-service,No
Zone 2,33,27,Married,7,46,High school degree,7,No,Male,4,No,Yes,No,No,7,0,29,0,0,243,0,924,0,0,No,No,No,No,No,No,No,No,Yes,1.98,,3.37,,,3.83,Basic service,No
Zone 1,10,26,Unmarried,6,34,Some college,3,No,Male,1,No,Yes,No,No,5,0,28,0,0,42,0,223,0,0,Yes,No,No,No,No,No,No,No,No,1.58,,3.32,,,3.53,E-service,No
Zone 2,62,54,Married,2,50,College degree,3,No,Male,2,No,Yes,Yes,Yes,17,0,48,88,33,1068,0,2864,5455,2023,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.85,,3.87,4.47,3.50,3.91,Total service,Yes
Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,6,No,Female,1,Yes,Yes,No,Yes,3,24,50,0,36,10,103,127,0,135,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.22,3.17,3.91,,3.58,5.08,Total service,Yes
Zone 1,42,47,Married,17,212,College degree,17,No,Male,2,Yes,No,Yes,No,7,27,0,25,0,321,1164,0,1035,0,No,No,No,No,Yes,Yes,Yes,No,No,2.01,3.29,,3.21,,5.36,Plus service,No
Zone 3,27,51,Married,3,80,Post-undergraduate degree,11,No,Male,3,No,Yes,No,No,7,0,39,0,0,176,0,1087,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.96,,3.67,,,4.38,E-service,No
Zone 2,38,42,Unmarried,1,30,College degree,7,No,Female,1,Yes,No,No,No,13,28,0,0,0,496,1088,0,0,0,No,No,No,No,No,Yes,No,No,No,2.58,3.31,,,,3.40,Basic service,No
Zone 3,52,61,Married,3,53,Post-undergraduate degree,1,No,Female,2,No,Yes,Yes,Yes,12,0,38,9,36,632,0,1884,465,1971,Yes,Yes,No,Yes,No,No,No,Yes,Yes,2.51,,3.65,2.17,3.58,3.97,E-service,No
Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,4,No,Female,1,Yes,No,Yes,Yes,6,38,0,22,40,217,1338,0,700,1424,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.77,3.64,,3.10,3.70,4.29,Total service,No
Zone 3,3,20,Married,1,17,High school degree,0,No,Female,4,No,No,No,No,4,0,0,0,0,12,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.32,,,,,2.83,Basic service,Yes
Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,3,No,Male,1,No,Yes,Yes,Yes,10,0,36,15,31,196,0,571,220,529,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,2.32,,3.59,2.67,3.43,3.14,Total service,Yes
Zone 1,55,53,Married,21,34,Did not complete high school,8,No,Male,2,No,No,No,No,6,0,0,0,0,304,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.74,,,,,3.53,Plus service,No
Zone 3,43,36,Married,5,107,Did not complete high school,19,No,Female,3,Yes,No,Yes,No,12,13,0,22,0,492,584,0,910,0,Yes,No,No,No,No,No,No,No,No,2.45,2.55,,3.07,,4.67,E-service,Yes
Zone 2,47,25,Married,5,21,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,9,31,0,9,0,427,1465,0,405,0,No,No,No,No,No,Yes,Yes,Yes,No,2.16,3.42,,2.20,,3.04,Plus service,Yes
Zone 3,65,58,Unmarried,30,83,High school degree,16,No,Female,1,No,No,Yes,No,19,0,0,23,0,1323,0,0,1370,0,Yes,No,No,No,No,Yes,No,No,No,2.96,,,3.12,,4.42,E-service,No
Zone 1,13,20,Unmarried,1,17,Some college,0,No,Male,5,No,Yes,Yes,No,3,0,31,14,0,40,0,391,155,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.12,,3.44,2.64,,2.83,Total service,No
Zone 3,64,25,Married,4,76,Some college,2,No,Female,6,No,Yes,Yes,No,24,0,35,21,0,1537,0,2288,1400,0,Yes,No,No,No,Yes,No,Yes,Yes,Yes,3.18,,3.57,3.06,,4.33,Plus service,No
Zone 2,12,24,Unmarried,2,19,Did not complete high school,0,No,Male,1,Yes,No,Yes,No,4,25,0,27,0,46,299,0,295,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.39,3.21,,3.31,,2.94,Plus service,Yes
Zone 1,29,32,Married,0,49,College degree,3,No,Female,3,No,Yes,No,No,7,0,33,0,0,187,0,918,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.90,,3.50,,,3.89,E-service,Yes
Zone 2,23,47,Unmarried,21,173,Some college,22,No,Female,1,No,No,No,No,8,0,0,0,0,146,0,0,0,0,Yes,No,No,No,Yes,No,No,Yes,Yes,2.03,,,,,5.15,E-service,No
Zone 2,14,35,Unmarried,4,47,Some college,10,No,Female,1,Yes,No,No,Yes,5,22,0,0,24,76,318,0,0,274,Yes,No,No,No,No,No,Yes,Yes,Yes,1.61,3.08,,,3.18,3.85,E-service,Yes
Zone 1,35,61,Unmarried,23,41,High school degree,11,No,Male,1,No,No,Yes,No,10,0,0,10,0,354,0,0,295,0,No,No,No,No,No,No,No,No,No,2.26,,,2.25,,3.71,Basic service,No
Zone 3,26,39,Unmarried,8,105,Some college,13,No,Female,1,Yes,No,Yes,Yes,7,40,0,37,38,160,1022,0,1005,885,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1.89,3.68,,3.62,3.64,4.65,Total service,No
Zone 1,13,54,Unmarried,2,31,College degree,2,No,Male,1,No,No,No,No,6,0,0,0,0,97,0,0,0,0,No,Yes,No,Yes,No,No,No,No,Yes,1.77,,,,,3.43,Basic service,No
Zone 2,69,40,Married,13,41,High school degree,17,No,Male,3,No,No,Yes,No,25,0,0,33,0,1725,0,0,2320,0,Yes,No,No,No,No,No,No,No,No,3.23,,,3.50,,3.71,E-service,No
Zone 3,61,50,Married,30,102,College degree,9,No,Female,3,No,No,Yes,No,13,0,0,13,0,760,0,0,745,0,Yes,No,No,Yes,No,No,No,No,Yes,2.53,,,2.53,,4.62,E-service,No
Zone 2,45,22,Married,2,36,College degree,0,No,Female,5,Yes,Yes,No,No,10,15,26,0,0,412,663,1181,0,0,Yes,No,No,No,No,No,No,No,No,2.30,2.69,3.26,,,3.58,E-service,Yes
Zone 2,3,37,Unmarried,13,24,Did not complete high school,3,No,Female,1,No,No,No,No,2,0,0,0,0,3,0,0,0,0,No,Yes,No,No,No,No,No,Yes,Yes,0.69,,,,,3.18,Basic service,No
Zone 2,53,22,Unmarried,1,25,College degree,0,No,Male,2,No,Yes,Yes,No,12,0,27,7,0,666,0,1469,335,0,Yes,No,No,Yes,No,No,No,No,Yes,2.49,,3.30,1.87,,3.22,E-service,No
Zone 1,59,42,Unmarried,1,68,High school degree,21,No,Female,1,Yes,No,Yes,No,17,21,0,19,0,998,1184,0,1160,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.85,3.06,,2.96,,4.22,Plus service,No
Zone 1,13,34,Unmarried,11,20,Some college,0,No,Female,1,No,No,No,No,5,0,0,0,0,71,0,0,0,0,No,No,No,Yes,No,No,No,No,No,1.57,,,,,3.00,Basic service,No
Zone 3,31,31,Unmarried,4,48,Did not complete high school,15,No,Male,1,No,No,No,No,4,0,0,0,0,128,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.34,,,,,3.87,Plus service,No
Zone 1,40,29,Married,6,40,High school degree,8,No,Female,5,No,No,No,No,13,0,0,0,0,503,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,2.56,,,,,3.69,Plus service,No
Zone 1,48,55,Unmarried,15,79,Did not complete high school,25,No,Male,1,No,No,Yes,No,14,0,0,26,0,669,0,0,1140,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.62,,,3.24,,4.37,Plus service,No
